able	할 수 있는
absent	결석한
abuse	남용하다, 학대하다
accept	받아들이다
accident	사고, 뜻밖의 사건
ache	아프다
activity	활동
actually	실제로
add	더하다
address	주소, 연설
admiral	해군대장
adult	성인
adventure	모험
advice	충고
affair	사건, 일
afraid	무서워하여
afterward	후에, 나중에
agree	동의하다
ahead	앞으로, 앞에
airport	공항
alarm	놀라게하다, 경보하다
alive	살아있는
allow	허락하다
almost	거의
alone	홀로, 혼자서
along	~을 따라서
altogether	아주, 전부
amateur	아마추어
amazing	놀라운
amount	양, 총계
amuse	재미있게 하다
ancestor	조상
ancient	고대의
angle	각도
angry	화난
answer	대답, 대답하다
anxious	걱정하는, 열망하는
anyway	어쨌든
apart	떨어져서, 따로
appear	나타나다, ~으로 보이다
appetite	식욕
appointment	약속, 지정, 임명
area	지역
army	군대
arrest	체포하다
arrive	도착하다
art	예술, 미술
astonish	놀라게하다
athlete	운동선수
atom	원자
attend	참석하다, 돌보다
attract	마음을 끌다
background	배경
badly	나쁘게, 몹시
balance	균형
bar	막대기
base	기초, 기초를 두다
basement	지하실
bathroom	욕실
battle	전투, 싸움
bay	만
beach	해안
bean	콩
bear	낳다, 참다
beast	짐승
beat	때리다
beauty	아름다움
become	~이 되다, 어울리다
bedside	침대곁
beef	쇠고기
beer	맥주
beg	구걸하다, 청하다
beggar	거지
behave	행동하다
behind	~의 뒤에
believe	믿다
belong	~에 속하다
below	~의 아래에
belt	띠, 허리띠
bend	구부리다
besides	게다가
bet	내기걸다, 단언하다
beyond	~을 지나서, 초월하여
bike	자전거
bill	계산서, 지폐, 법안
biology	생물학
birth	출생
bit	작은 조각, 조금
bite	물다, 물어뜯다
blanket	담요
bless	축복하다
blind	눈먼
blood	피
blow	불다
board	판자, 탑승
body	몸, 신체
bone	뼈
bookstore	서점
booth	오두막집, 작은 방
boring	지겨운
borrow	빌리다
bother	괴롭히다
bottle	병
bottom	밑, 밑바닥
bow	절하다, 활
bowl	사발, 그릇
brain	뇌
branch	나뭇가지, 지점
break	부수다, 깨뜨리다
breathe	숨쉬다, 호흡하다
bridge	다리
bright	밝은, 영리한
bring	가져오다
british	영국인, 영국의
brown	갈색
bubble	거품
build	짓다, 건축하다
burden	짐, 부담
burn	타다, 태우다
bury	파묻다
bush	수풀, 덤불
business	사업, 일
busy	바쁜
butterfly	나비
cage	새장, 우리
calm	고요한
canal	운하
candle	양초, 촛불
capital	수도, 자본
captain	우두머리, 선장
care	걱정
carry	나르다, 운반하다
carve	새기다, 조각하다
cash	현금, 현금으로 바꾸다
castle	성
cause	원인, 이유
ceiling	천장
celebrate	축하하다
cemetery	묘지
center	중심지
century	세기, 100년
ceremony	의식
certain	확실한, 어떤
chain	사슬
chance	기회, 가능성
change	변화, 잔돈
charge	짐을 싣다, 청구하다, 책임
charming	매력적인
chase	쫓다, 추적
cheap	값싼
check	방해하다, 대조하다, 수표
cheek	볼, 빰
chest	가슴, 상자
chief	우두머리, 주요한
choose	고르다, 선택하다
chopstick	젓가락
circle	원
clap	탁 치다, 손뼉치다
clean	깨끗한
clear	맑은, 명백한, 깨끗이치우다
cleave	쪼개다
clerk	사무원, 점원
clever	영리한
climate	기후
climb	오르다
close	닫다, 가까운
closet	벽장
cloth	천, 직물
cloudy	구름이 낀
clue	실마리, 단서
coal	석탄
coast	해안
coeducation	남녀공학
coil	코일, 감긴 것
coin	동전
collect	모으다, 수집하다
college	단과대학, 전문대학
colorful	화려한
comb	빗, 빗질하다
comedy	희극, 코미디
comfort	안락, 위안
common	공통의, 보통의
communication	통신, 의사소통
company	친구, 회사
comparison	비교
competent	유능한
competition	경쟁
complain	불평하다
complete	완성하다
composer	작곡가
compulsory	의무적인
concert	음악회
contest	경쟁
continent	대륙
continue	계속하다
contrary	반대의
control	통제하다, 지배하다
cool	서늘한, 근사한
corn	곡물, 옥수수
correctly	바르게, 정확히
cost	비용
cotton	솜, 면
cough	기침, 기침을 하다
count	세다, 계산하다
couple	한쌍, 커플
course	진로, 과정
cousin	사촌
cover	덮개, 덮다
crack	갈라진 틈
crash	충돌[추락]
crazy	미친
create	창조하다
creek	시냇물
crew	승무원
cricket	크리켓 경기
crop	농작물
crowded	붐비는, 혼잡한
crown	왕관
culture	문화,교양
curious	호기심이 강한
custom	관습
damage	손해, 손상
danger	위험
dark	어두운
data	자료
date	날짜
daughter	딸
dawn	새벽
deal	다루다, 분배하다
dear	친애하는, 값비싼
death	죽음
debt	빚
decide	결심하다, 결정하다
deck	갑판
declare	선언하다
decrease	감소하다
deep	깊은, 깊게
deer	사슴
degree	정도, 도, 학위
delicious	맛있는
delight	기쁨
democracy	민주주의
department	부문, 부서
depend	~에 의존하다
describe	묘사하다
desert	사막, 버리다
deserve	받을가치가있다, ~할 만하다
design	계획, 설계, 디지인
destroy	파괴하다
detective	탐정, 형사
devil	악마
dialogue	대화
diary	일기
dictionary	사전
different	다른
difficult	어려운
dig	파다
diligent	부지런한
dinning room	식당
direction	방향, 지시
dirty	더러운
disappoint	실망시키다
discuss	토론하다
dish	접시, 요리
ditch	도랑
dive	다이빙하다, 잠수하다
doll	인형
dollar	달러
downtown	번화가
drag	끌다
draw	당기다, 그리다
dream	꿈
drop	떨어지다, 물방울
drown	물에 빠뜨리다
drugstore	약국
drum	북
dry	마른
dull	무딘, 우둔한
dumb	벙어리의
dye	염색, 물감
early	일찍
earnings	벌이
earth	지구, 땅
edge	가장자리
education	교육
effect	결과,영향,효과
effort	노력
either	어느 한쪽의, 또한
elder	손위의, 연상의
election	선거
electricity	전기
elementary	초보의, 초등학교의
else	그 밖에
empty	빈
enemy	적
energy	힘, 활기
engage	고용하다, 약속하다
engineer	기사, 공학자
enjoy	즐기다
enough	충분한
entire	전체의
envelope	봉투
equal	같은, 동등한
eraser	지우개
error	잘못
especially	특별히
event	사건
evil	악, 나쁜
exactly	정확히
examination	시험, 검사
example	예, 보기
excellent	뛰어난
except	제외하다
exchange	교환하다
excited	흥분한
excuse	용서하다, 변명
exercise	운동, 연습
exit	출구
expect	기대하다
expensive	값비싼
experience	경험
explain	설명하다
explode	폭발시키다
explore	탐험하다
expressway	고속도로
fact	사실
factory	공장
fail	실패하다
fair	공평한, 박람회
famous	유명한
fare	교통요금
fat	살찐, 지방
fault	결점, 잘못
favorite	아주 좋아하는
fear	두려워하다
feast	잔치, 향연
feather	깃털
feed	먹이다
fence	울타리
fever	열
fierce	사나운, 맹렬한
fight	싸우다
figure	인물, 모양, 숫자
fill	채우다
finally	마침내, 최후로
firm	굳은, 회사
flame	불꽃
flashlight	회중전등, 카메라의 플래시
flat	평평한
flight	비행
float	뜨다
flood	홍수
flow	흐르다
flute	플룻, 피리
fog	안개
